Key,english,french
dhsSkillClassMedicSurgArmeName,Chirurgien — Arme,Chirurgien — Arme
dhsSkillClassMedicSurgArmeDesc,Sous-branche Chirurgien : Arme.,Sous-branche Chirurgien : Arme.
dhsPerkMedicSurgDmgName,Dégâts,Dégâts
dhsPerkMedicSurgDmgDesc,Augmente les dégâts de mêlée.,Augmente les dégâts de mêlée.
dhsPerkMedicSurgDmgR1,Dégâts,Dégâts
dhsPerkMedicSurgDmgR1Long,Niveau 1 : +8 %. Augmente les dégâts de mêlée.,Niveau 1 : +8 %. Augmente les dégâts de mêlée.
dhsPerkMedicSurgDmgR2,Dégâts,Dégâts
dhsPerkMedicSurgDmgR2Long,Niveau 2 : +16 %. Augmente les dégâts de mêlée.,Niveau 2 : +16 %. Augmente les dégâts de mêlée.
dhsPerkMedicSurgDmgR3,Dégâts,Dégâts
dhsPerkMedicSurgDmgR3Long,Niveau 3 : +24 %. Augmente les dégâts de mêlée.,Niveau 3 : +24 %. Augmente les dégâts de mêlée.
dhsPerkMedicSurgDmgR4,Dégâts,Dégâts
dhsPerkMedicSurgDmgR4Long,Niveau 4 : +32 %. Augmente les dégâts de mêlée.,Niveau 4 : +32 %. Augmente les dégâts de mêlée.
dhsPerkMedicSurgDmgR5,Dégâts,Dégâts
dhsPerkMedicSurgDmgR5Long,Niveau 5 : +40 %. Augmente les dégâts de mêlée.,Niveau 5 : +40 %. Augmente les dégâts de mêlée.
dhsPerkMedicSurgHandName,Maniement,Maniement
dhsPerkMedicSurgHandDesc,Améliore la prise en main : attaques plus vives.,Améliore la prise en main : attaques plus vives.
dhsPerkMedicSurgHandR1,Maniement,Maniement
dhsPerkMedicSurgHandR1Long,Niveau 1 : +10 %. Améliore la prise en main : attaques plus vives.,Niveau 1 : +10 %. Améliore la prise en main : attaques plus vives.
dhsPerkMedicSurgHandR2,Maniement,Maniement
dhsPerkMedicSurgHandR2Long,Niveau 2 : +20 %. Améliore la prise en main : attaques plus vives.,Niveau 2 : +20 %. Améliore la prise en main : attaques plus vives.
dhsPerkMedicSurgHandR3,Maniement,Maniement
dhsPerkMedicSurgHandR3Long,Niveau 3 : +30 %. Améliore la prise en main : attaques plus vives.,Niveau 3 : +30 %. Améliore la prise en main : attaques plus vives.
dhsPerkMedicSurgHandR4,Maniement,Maniement
dhsPerkMedicSurgHandR4Long,Niveau 4 : +40 %. Améliore la prise en main : attaques plus vives.,Niveau 4 : +40 %. Améliore la prise en main : attaques plus vives.
dhsPerkMedicSurgHandR5,Maniement,Maniement
dhsPerkMedicSurgHandR5Long,Niveau 5 : +50 %. Améliore la prise en main : attaques plus vives.,Niveau 5 : +50 %. Améliore la prise en main : attaques plus vives.
dhsPerkMedicSurgDismemberName,Brutalité,Brutalité
dhsPerkMedicSurgDismemberDesc,Augmente les chances de démembrement.,Augmente les chances de démembrement.
dhsPerkMedicSurgDismemberR1,Brutalité,Brutalité
dhsPerkMedicSurgDismemberR1Long,Niveau 1 : +5 %. Augmente les chances de démembrement.,Niveau 1 : +5 %. Augmente les chances de démembrement.
dhsPerkMedicSurgDismemberR2,Brutalité,Brutalité
dhsPerkMedicSurgDismemberR2Long,Niveau 2 : +10 %. Augmente les chances de démembrement.,Niveau 2 : +10 %. Augmente les chances de démembrement.
dhsPerkMedicSurgDismemberR3,Brutalité,Brutalité
dhsPerkMedicSurgDismemberR3Long,Niveau 3 : +15 %. Augmente les chances de démembrement.,Niveau 3 : +15 %. Augmente les chances de démembrement.
dhsPerkMedicSurgDismemberR4,Brutalité,Brutalité
dhsPerkMedicSurgDismemberR4Long,Niveau 4 : +20 %. Augmente les chances de démembrement.,Niveau 4 : +20 %. Augmente les chances de démembrement.
dhsPerkMedicSurgDismemberR5,Brutalité,Brutalité
dhsPerkMedicSurgDismemberR5Long,Niveau 5 : +25 %. Augmente les chances de démembrement.,Niveau 5 : +25 %. Augmente les chances de démembrement.
dhsPerkMedicSurgBlockName,Force de frappe,Force de frappe
dhsPerkMedicSurgBlockDesc,Augmente les dégâts portés aux blocs et objets.,Augmente les dégâts portés aux blocs et objets.
dhsPerkMedicSurgBlockR1,Force de frappe,Force de frappe
dhsPerkMedicSurgBlockR1Long,Niveau 1 : +10 %. Augmente les dégâts portés aux blocs et objets.,Niveau 1 : +10 %. Augmente les dégâts portés aux blocs et objets.
dhsPerkMedicSurgBlockR2,Force de frappe,Force de frappe
dhsPerkMedicSurgBlockR2Long,Niveau 2 : +20 %. Augmente les dégâts portés aux blocs et objets.,Niveau 2 : +20 %. Augmente les dégâts portés aux blocs et objets.
dhsPerkMedicSurgBlockR3,Force de frappe,Force de frappe
dhsPerkMedicSurgBlockR3Long,Niveau 3 : +30 %. Augmente les dégâts portés aux blocs et objets.,Niveau 3 : +30 %. Augmente les dégâts portés aux blocs et objets.
dhsPerkMedicSurgBlockR4,Force de frappe,Force de frappe
dhsPerkMedicSurgBlockR4Long,Niveau 4 : +40 %. Augmente les dégâts portés aux blocs et objets.,Niveau 4 : +40 %. Augmente les dégâts portés aux blocs et objets.
dhsPerkMedicSurgBlockR5,Force de frappe,Force de frappe
dhsPerkMedicSurgBlockR5Long,Niveau 5 : +50 %. Augmente les dégâts portés aux blocs et objets.,Niveau 5 : +50 %. Augmente les dégâts portés aux blocs et objets.
dhsPerkMedicSurgPierceName,Perforation,Perforation
dhsPerkMedicSurgPierceDesc,Vos coups ignorent davantage l'armure.,Vos coups ignorent davantage l'armure.
dhsPerkMedicSurgPierceR1,Perforation,Perforation
dhsPerkMedicSurgPierceR1Long,Niveau 1 : -6 %. Vos coups ignorent davantage l'armure.,Niveau 1 : -6 %. Vos coups ignorent davantage l'armure.
dhsPerkMedicSurgPierceR2,Perforation,Perforation
dhsPerkMedicSurgPierceR2Long,Niveau 2 : -12 %. Vos coups ignorent davantage l'armure.,Niveau 2 : -12 %. Vos coups ignorent davantage l'armure.
dhsPerkMedicSurgPierceR3,Perforation,Perforation
dhsPerkMedicSurgPierceR3Long,Niveau 3 : -18 %. Vos coups ignorent davantage l'armure.,Niveau 3 : -18 %. Vos coups ignorent davantage l'armure.
dhsPerkMedicSurgPierceR4,Perforation,Perforation
dhsPerkMedicSurgPierceR4Long,Niveau 4 : -24 %. Vos coups ignorent davantage l'armure.,Niveau 4 : -24 %. Vos coups ignorent davantage l'armure.
dhsPerkMedicSurgPierceR5,Perforation,Perforation
dhsPerkMedicSurgPierceR5Long,Niveau 5 : -30 %. Vos coups ignorent davantage l'armure.,Niveau 5 : -30 %. Vos coups ignorent davantage l'armure.
dhsPerkMedicSurgWStamName,Aisance,Aisance
dhsPerkMedicSurgWStamDesc,Réduit l'endurance dépensée en attaquant.,Réduit l'endurance dépensée en attaquant.
dhsPerkMedicSurgWStamR1,Aisance,Aisance
dhsPerkMedicSurgWStamR1Long,Niveau 1 : -5 %. Réduit l'endurance dépensée en attaquant.,Niveau 1 : -5 %. Réduit l'endurance dépensée en attaquant.
dhsPerkMedicSurgWStamR2,Aisance,Aisance
dhsPerkMedicSurgWStamR2Long,Niveau 2 : -10 %. Réduit l'endurance dépensée en attaquant.,Niveau 2 : -10 %. Réduit l'endurance dépensée en attaquant.
dhsPerkMedicSurgWStamR3,Aisance,Aisance
dhsPerkMedicSurgWStamR3Long,Niveau 3 : -15 %. Réduit l'endurance dépensée en attaquant.,Niveau 3 : -15 %. Réduit l'endurance dépensée en attaquant.
dhsPerkMedicSurgWStamR4,Aisance,Aisance
dhsPerkMedicSurgWStamR4Long,Niveau 4 : -20 %. Réduit l'endurance dépensée en attaquant.,Niveau 4 : -20 %. Réduit l'endurance dépensée en attaquant.
dhsPerkMedicSurgWStamR5,Aisance,Aisance
dhsPerkMedicSurgWStamR5Long,Niveau 5 : -25 %. Réduit l'endurance dépensée en attaquant.,Niveau 5 : -25 %. Réduit l'endurance dépensée en attaquant.
dhsSkillClassMedicSurgMetierName,Chirurgien — Métier,Chirurgien — Métier
dhsSkillClassMedicSurgMetierDesc,Sous-branche Chirurgien : Métier.,Sous-branche Chirurgien : Métier.
dhsPerkMedicSurgQualityName,Maîtrise d'artisanat,Maîtrise d'artisanat
dhsPerkMedicSurgQualityDesc,Améliore la qualité de ce que vous fabriquez (médecine).,Améliore la qualité de ce que vous fabriquez (médecine).
dhsPerkMedicSurgQualityR1,Maîtrise d'artisanat,Maîtrise d'artisanat
dhsPerkMedicSurgQualityR1Long,Niveau 1 : +1. Améliore la qualité de ce que vous fabriquez (médecine).,Niveau 1 : +1. Améliore la qualité de ce que vous fabriquez (médecine).
dhsPerkMedicSurgQualityR2,Maîtrise d'artisanat,Maîtrise d'artisanat
dhsPerkMedicSurgQualityR2Long,Niveau 2 : +2. Améliore la qualité de ce que vous fabriquez (médecine).,Niveau 2 : +2. Améliore la qualité de ce que vous fabriquez (médecine).
dhsPerkMedicSurgQualityR3,Maîtrise d'artisanat,Maîtrise d'artisanat
dhsPerkMedicSurgQualityR3Long,Niveau 3 : +3. Améliore la qualité de ce que vous fabriquez (médecine).,Niveau 3 : +3. Améliore la qualité de ce que vous fabriquez (médecine).
dhsPerkMedicSurgQualityR4,Maîtrise d'artisanat,Maîtrise d'artisanat
dhsPerkMedicSurgQualityR4Long,Niveau 4 : +4. Améliore la qualité de ce que vous fabriquez (médecine).,Niveau 4 : +4. Améliore la qualité de ce que vous fabriquez (médecine).
dhsPerkMedicSurgQualityR5,Maîtrise d'artisanat,Maîtrise d'artisanat
dhsPerkMedicSurgQualityR5Long,Niveau 5 : +5. Améliore la qualité de ce que vous fabriquez (médecine).,Niveau 5 : +5. Améliore la qualité de ce que vous fabriquez (médecine).
dhsPerkMedicSurgSpeedName,Production rapide,Production rapide
dhsPerkMedicSurgSpeedDesc,Fabrique plus vite (médecine).,Fabrique plus vite (médecine).
dhsPerkMedicSurgSpeedR1,Production rapide,Production rapide
dhsPerkMedicSurgSpeedR1Long,Niveau 1 : -10 %. Fabrique plus vite (médecine).,Niveau 1 : -10 %. Fabrique plus vite (médecine).
dhsPerkMedicSurgSpeedR2,Production rapide,Production rapide
dhsPerkMedicSurgSpeedR2Long,Niveau 2 : -20 %. Fabrique plus vite (médecine).,Niveau 2 : -20 %. Fabrique plus vite (médecine).
dhsPerkMedicSurgSpeedR3,Production rapide,Production rapide
dhsPerkMedicSurgSpeedR3Long,Niveau 3 : -30 %. Fabrique plus vite (médecine).,Niveau 3 : -30 %. Fabrique plus vite (médecine).
dhsPerkMedicSurgSpeedR4,Production rapide,Production rapide
dhsPerkMedicSurgSpeedR4Long,Niveau 4 : -40 %. Fabrique plus vite (médecine).,Niveau 4 : -40 %. Fabrique plus vite (médecine).
dhsPerkMedicSurgSpeedR5,Production rapide,Production rapide
dhsPerkMedicSurgSpeedR5Long,Niveau 5 : -50 %. Fabrique plus vite (médecine).,Niveau 5 : -50 %. Fabrique plus vite (médecine).
dhsPerkMedicSurgAtelierIName,Atelier : médecine,Atelier : médecine
dhsPerkMedicSurgAtelierIDesc,Débloque la fabrication de votre spécialité : médecine.,Débloque la fabrication de votre spécialité : médecine.
dhsPerkMedicSurgAtelierIR1,Atelier : médecine,Atelier : médecine
dhsPerkMedicSurgAtelierIR1Long,Débloque la fabrication de votre spécialité : médecine.,Débloque la fabrication de votre spécialité : médecine.
dhsPerkMedicSurgAtelierIIName,Maîtrise : médecine,Maîtrise : médecine
dhsPerkMedicSurgAtelierIIDesc,Débloque la fabrication avancée de votre spécialité : médecine.,Débloque la fabrication avancée de votre spécialité : médecine.
dhsPerkMedicSurgAtelierIIR1,Maîtrise : médecine,Maîtrise : médecine
dhsPerkMedicSurgAtelierIIR1Long,Débloque la fabrication avancée de votre spécialité : médecine.,Débloque la fabrication avancée de votre spécialité : médecine.
dhsPerkMedicSurgSigKitName,Bloc opératoire,Bloc opératoire
dhsPerkMedicSurgSigKitDesc,Débloque la fabrication de la Trousse de chirurgie.,Débloque la fabrication de la Trousse de chirurgie.
dhsPerkMedicSurgSigKitR1,Bloc opératoire,Bloc opératoire
dhsPerkMedicSurgSigKitR1Long,Débloque la fabrication de la Trousse de chirurgie.,Débloque la fabrication de la Trousse de chirurgie.
dhsSkillClassMedicSurgSpecName,Chirurgien — Spécialité,Chirurgien — Spécialité
dhsSkillClassMedicSurgSpecDesc,Sous-branche Chirurgien : Spécialité.,Sous-branche Chirurgien : Spécialité.
dhsPerkMedicSurgSteadyName,Mains stables,Mains stables
dhsPerkMedicSurgSteadyDesc,Résiste fortement aux effets négatifs.,Résiste fortement aux effets négatifs.
dhsPerkMedicSurgSteadyR1,Mains stables,Mains stables
dhsPerkMedicSurgSteadyR1Long,Niveau 1 : +1. Résiste fortement aux effets négatifs.,Niveau 1 : +1. Résiste fortement aux effets négatifs.
dhsPerkMedicSurgSteadyR2,Mains stables,Mains stables
dhsPerkMedicSurgSteadyR2Long,Niveau 2 : +2. Résiste fortement aux effets négatifs.,Niveau 2 : +2. Résiste fortement aux effets négatifs.
dhsPerkMedicSurgSteadyR3,Mains stables,Mains stables
dhsPerkMedicSurgSteadyR3Long,Niveau 3 : +3. Résiste fortement aux effets négatifs.,Niveau 3 : +3. Résiste fortement aux effets négatifs.
dhsPerkMedicSurgSteadyR4,Mains stables,Mains stables
dhsPerkMedicSurgSteadyR4Long,Niveau 4 : +4. Résiste fortement aux effets négatifs.,Niveau 4 : +4. Résiste fortement aux effets négatifs.
dhsPerkMedicSurgSteadyR5,Mains stables,Mains stables
dhsPerkMedicSurgSteadyR5Long,Niveau 5 : +5. Résiste fortement aux effets négatifs.,Niveau 5 : +5. Résiste fortement aux effets négatifs.
dhsPerkMedicSurgSterileName,Asepsie,Asepsie
dhsPerkMedicSurgSterileDesc,Réduit les dégâts élémentaires subis.,Réduit les dégâts élémentaires subis.
dhsPerkMedicSurgSterileR1,Asepsie,Asepsie
dhsPerkMedicSurgSterileR1Long,Niveau 1 : +2. Réduit les dégâts élémentaires subis.,Niveau 1 : +2. Réduit les dégâts élémentaires subis.
dhsPerkMedicSurgSterileR2,Asepsie,Asepsie
dhsPerkMedicSurgSterileR2Long,Niveau 2 : +4. Réduit les dégâts élémentaires subis.,Niveau 2 : +4. Réduit les dégâts élémentaires subis.
dhsPerkMedicSurgSterileR3,Asepsie,Asepsie
dhsPerkMedicSurgSterileR3Long,Niveau 3 : +6. Réduit les dégâts élémentaires subis.,Niveau 3 : +6. Réduit les dégâts élémentaires subis.
dhsPerkMedicSurgSterileR4,Asepsie,Asepsie
dhsPerkMedicSurgSterileR4Long,Niveau 4 : +8. Réduit les dégâts élémentaires subis.,Niveau 4 : +8. Réduit les dégâts élémentaires subis.
dhsPerkMedicSurgSterileR5,Asepsie,Asepsie
dhsPerkMedicSurgSterileR5Long,Niveau 5 : +10. Réduit les dégâts élémentaires subis.,Niveau 5 : +10. Réduit les dégâts élémentaires subis.
dhsPerkMedicSurgCalmName,Sang-froid clinique,Sang-froid clinique
dhsPerkMedicSurgCalmDesc,Réduit les dégâts d'explosion subis.,Réduit les dégâts d'explosion subis.
dhsPerkMedicSurgCalmR1,Sang-froid clinique,Sang-froid clinique
dhsPerkMedicSurgCalmR1Long,Niveau 1 : -5 %. Réduit les dégâts d'explosion subis.,Niveau 1 : -5 %. Réduit les dégâts d'explosion subis.
dhsPerkMedicSurgCalmR2,Sang-froid clinique,Sang-froid clinique
dhsPerkMedicSurgCalmR2Long,Niveau 2 : -10 %. Réduit les dégâts d'explosion subis.,Niveau 2 : -10 %. Réduit les dégâts d'explosion subis.
dhsPerkMedicSurgCalmR3,Sang-froid clinique,Sang-froid clinique
dhsPerkMedicSurgCalmR3Long,Niveau 3 : -15 %. Réduit les dégâts d'explosion subis.,Niveau 3 : -15 %. Réduit les dégâts d'explosion subis.
dhsPerkMedicSurgCalmR4,Sang-froid clinique,Sang-froid clinique
dhsPerkMedicSurgCalmR4Long,Niveau 4 : -20 %. Réduit les dégâts d'explosion subis.,Niveau 4 : -20 %. Réduit les dégâts d'explosion subis.
dhsPerkMedicSurgCalmR5,Sang-froid clinique,Sang-froid clinique
dhsPerkMedicSurgCalmR5Long,Niveau 5 : -25 %. Réduit les dégâts d'explosion subis.,Niveau 5 : -25 %. Réduit les dégâts d'explosion subis.
dhsPerkMedicSurgSupplyName,Pharmacie,Pharmacie
dhsPerkMedicSurgSupplyDesc,Améliore la qualité du butin trouvé.,Améliore la qualité du butin trouvé.
dhsPerkMedicSurgSupplyR1,Pharmacie,Pharmacie
dhsPerkMedicSurgSupplyR1Long,Niveau 1 : +4 %. Améliore la qualité du butin trouvé.,Niveau 1 : +4 %. Améliore la qualité du butin trouvé.
dhsPerkMedicSurgSupplyR2,Pharmacie,Pharmacie
dhsPerkMedicSurgSupplyR2Long,Niveau 2 : +8 %. Améliore la qualité du butin trouvé.,Niveau 2 : +8 %. Améliore la qualité du butin trouvé.
dhsPerkMedicSurgSupplyR3,Pharmacie,Pharmacie
dhsPerkMedicSurgSupplyR3Long,Niveau 3 : +12 %. Améliore la qualité du butin trouvé.,Niveau 3 : +12 %. Améliore la qualité du butin trouvé.
dhsPerkMedicSurgSupplyR4,Pharmacie,Pharmacie
dhsPerkMedicSurgSupplyR4Long,Niveau 4 : +16 %. Améliore la qualité du butin trouvé.,Niveau 4 : +16 %. Améliore la qualité du butin trouvé.
dhsPerkMedicSurgSupplyR5,Pharmacie,Pharmacie
dhsPerkMedicSurgSupplyR5Long,Niveau 5 : +20 %. Améliore la qualité du butin trouvé.,Niveau 5 : +20 %. Améliore la qualité du butin trouvé.
dhsPerkMedicSurgToughName,Constitution de fer,Constitution de fer
dhsPerkMedicSurgToughDesc,Réduit les dégâts physiques subis.,Réduit les dégâts physiques subis.
dhsPerkMedicSurgToughR1,Constitution de fer,Constitution de fer
dhsPerkMedicSurgToughR1Long,Niveau 1 : +1. Réduit les dégâts physiques subis.,Niveau 1 : +1. Réduit les dégâts physiques subis.
dhsPerkMedicSurgToughR2,Constitution de fer,Constitution de fer
dhsPerkMedicSurgToughR2Long,Niveau 2 : +2. Réduit les dégâts physiques subis.,Niveau 2 : +2. Réduit les dégâts physiques subis.
dhsPerkMedicSurgToughR3,Constitution de fer,Constitution de fer
dhsPerkMedicSurgToughR3Long,Niveau 3 : +3. Réduit les dégâts physiques subis.,Niveau 3 : +3. Réduit les dégâts physiques subis.
dhsPerkMedicSurgToughR4,Constitution de fer,Constitution de fer
dhsPerkMedicSurgToughR4Long,Niveau 4 : +4. Réduit les dégâts physiques subis.,Niveau 4 : +4. Réduit les dégâts physiques subis.
dhsPerkMedicSurgToughR5,Constitution de fer,Constitution de fer
dhsPerkMedicSurgToughR5Long,Niveau 5 : +5. Réduit les dégâts physiques subis.,Niveau 5 : +5. Réduit les dégâts physiques subis.
dhsPerkMedicSurgTradeName,Praticien,Praticien
dhsPerkMedicSurgTradeDesc,Améliore les prix de vente.,Améliore les prix de vente.
dhsPerkMedicSurgTradeR1,Praticien,Praticien
dhsPerkMedicSurgTradeR1Long,Niveau 1 : +2. Améliore les prix de vente.,Niveau 1 : +2. Améliore les prix de vente.
dhsPerkMedicSurgTradeR2,Praticien,Praticien
dhsPerkMedicSurgTradeR2Long,Niveau 2 : +4. Améliore les prix de vente.,Niveau 2 : +4. Améliore les prix de vente.
dhsPerkMedicSurgTradeR3,Praticien,Praticien
dhsPerkMedicSurgTradeR3Long,Niveau 3 : +6. Améliore les prix de vente.,Niveau 3 : +6. Améliore les prix de vente.
dhsPerkMedicSurgTradeR4,Praticien,Praticien
dhsPerkMedicSurgTradeR4Long,Niveau 4 : +8. Améliore les prix de vente.,Niveau 4 : +8. Améliore les prix de vente.
dhsPerkMedicSurgTradeR5,Praticien,Praticien
dhsPerkMedicSurgTradeR5Long,Niveau 5 : +10. Améliore les prix de vente.,Niveau 5 : +10. Améliore les prix de vente.
dhsMedSurgeryKit,Trousse de chirurgie,Trousse de chirurgie
dhsMedSurgeryKitDesc,Trousse de soins complète de qualité hospitalière. Fabriquée uniquement par le Chirurgien.,Trousse de soins complète de qualité hospitalière. Fabriquée uniquement par le Chirurgien.
dhsReqClassMedicChem,Nécessite la classe Chimiste,Nécessite la classe Chimiste
dhsBookClassMedicChem,Manuel de classe : Chimiste,Manuel de classe : Chimiste
dhsBookClassMedicChemDesc,"Devenez Chimiste : maîtrisez la chimie, les drogues et les armes de jet. La lecture choisit la classe Chimiste, débloque son craft signature et octroie quelques points de classe.","Devenez Chimiste : maîtrisez la chimie, les drogues et les armes de jet. La lecture choisit la classe Chimiste, débloque son craft signature et octroie quelques points de classe."
dhsMagMedicChem,Manuel : Chimiste,Manuel : Chimiste
dhsMagMedicChemDesc,Un magazine de Chimiste. Le lire octroie 1 point de classe Chimiste à dépenser dans l'arbre Chimiste. Utile uniquement à cette classe.,Un magazine de Chimiste. Le lire octroie 1 point de classe Chimiste à dépenser dans l'arbre Chimiste. Utile uniquement à cette classe.
dhsSkillClassMedicChemArmeName,Chimiste — Arme,Chimiste — Arme
dhsSkillClassMedicChemArmeDesc,Sous-branche Chimiste : Arme.,Sous-branche Chimiste : Arme.
dhsPerkMedicChemDmgName,Dégâts,Dégâts
dhsPerkMedicChemDmgDesc,Augmente les dégâts de jet.,Augmente les dégâts de jet.
dhsPerkMedicChemDmgR1,Dégâts,Dégâts
dhsPerkMedicChemDmgR1Long,Niveau 1 : +8 %. Augmente les dégâts de jet.,Niveau 1 : +8 %. Augmente les dégâts de jet.
dhsPerkMedicChemDmgR2,Dégâts,Dégâts
dhsPerkMedicChemDmgR2Long,Niveau 2 : +16 %. Augmente les dégâts de jet.,Niveau 2 : +16 %. Augmente les dégâts de jet.
dhsPerkMedicChemDmgR3,Dégâts,Dégâts
dhsPerkMedicChemDmgR3Long,Niveau 3 : +24 %. Augmente les dégâts de jet.,Niveau 3 : +24 %. Augmente les dégâts de jet.
dhsPerkMedicChemDmgR4,Dégâts,Dégâts
dhsPerkMedicChemDmgR4Long,Niveau 4 : +32 %. Augmente les dégâts de jet.,Niveau 4 : +32 %. Augmente les dégâts de jet.
dhsPerkMedicChemDmgR5,Dégâts,Dégâts
dhsPerkMedicChemDmgR5Long,Niveau 5 : +40 %. Augmente les dégâts de jet.,Niveau 5 : +40 %. Augmente les dégâts de jet.
dhsPerkMedicChemHandName,Maniement,Maniement
dhsPerkMedicChemHandDesc,Améliore la prise en main : armement et lancer plus vifs.,Améliore la prise en main : armement et lancer plus vifs.
dhsPerkMedicChemHandR1,Maniement,Maniement
dhsPerkMedicChemHandR1Long,Niveau 1 : +10 %. Améliore la prise en main : armement et lancer plus vifs.,Niveau 1 : +10 %. Améliore la prise en main : armement et lancer plus vifs.
dhsPerkMedicChemHandR2,Maniement,Maniement
dhsPerkMedicChemHandR2Long,Niveau 2 : +20 %. Améliore la prise en main : armement et lancer plus vifs.,Niveau 2 : +20 %. Améliore la prise en main : armement et lancer plus vifs.
dhsPerkMedicChemHandR3,Maniement,Maniement
dhsPerkMedicChemHandR3Long,Niveau 3 : +30 %. Améliore la prise en main : armement et lancer plus vifs.,Niveau 3 : +30 %. Améliore la prise en main : armement et lancer plus vifs.
dhsPerkMedicChemHandR4,Maniement,Maniement
dhsPerkMedicChemHandR4Long,Niveau 4 : +40 %. Améliore la prise en main : armement et lancer plus vifs.,Niveau 4 : +40 %. Améliore la prise en main : armement et lancer plus vifs.
dhsPerkMedicChemHandR5,Maniement,Maniement
dhsPerkMedicChemHandR5Long,Niveau 5 : +50 %. Améliore la prise en main : armement et lancer plus vifs.,Niveau 5 : +50 %. Améliore la prise en main : armement et lancer plus vifs.
dhsPerkMedicChemVeloName,Bon bras,Bon bras
dhsPerkMedicChemVeloDesc,Lance plus loin et plus vite.,Lance plus loin et plus vite.
dhsPerkMedicChemVeloR1,Bon bras,Bon bras
dhsPerkMedicChemVeloR1Long,Niveau 1 : +10 %. Lance plus loin et plus vite.,Niveau 1 : +10 %. Lance plus loin et plus vite.
dhsPerkMedicChemVeloR2,Bon bras,Bon bras
dhsPerkMedicChemVeloR2Long,Niveau 2 : +20 %. Lance plus loin et plus vite.,Niveau 2 : +20 %. Lance plus loin et plus vite.
dhsPerkMedicChemVeloR3,Bon bras,Bon bras
dhsPerkMedicChemVeloR3Long,Niveau 3 : +30 %. Lance plus loin et plus vite.,Niveau 3 : +30 %. Lance plus loin et plus vite.
dhsPerkMedicChemVeloR4,Bon bras,Bon bras
dhsPerkMedicChemVeloR4Long,Niveau 4 : +40 %. Lance plus loin et plus vite.,Niveau 4 : +40 %. Lance plus loin et plus vite.
dhsPerkMedicChemVeloR5,Bon bras,Bon bras
dhsPerkMedicChemVeloR5Long,Niveau 5 : +50 %. Lance plus loin et plus vite.,Niveau 5 : +50 %. Lance plus loin et plus vite.
dhsPerkMedicChemPierceName,Perforation,Perforation
dhsPerkMedicChemPierceDesc,Vos projectiles ignorent davantage l'armure.,Vos projectiles ignorent davantage l'armure.
dhsPerkMedicChemPierceR1,Perforation,Perforation
dhsPerkMedicChemPierceR1Long,Niveau 1 : -6 %. Vos projectiles ignorent davantage l'armure.,Niveau 1 : -6 %. Vos projectiles ignorent davantage l'armure.
dhsPerkMedicChemPierceR2,Perforation,Perforation
dhsPerkMedicChemPierceR2Long,Niveau 2 : -12 %. Vos projectiles ignorent davantage l'armure.,Niveau 2 : -12 %. Vos projectiles ignorent davantage l'armure.
dhsPerkMedicChemPierceR3,Perforation,Perforation
dhsPerkMedicChemPierceR3Long,Niveau 3 : -18 %. Vos projectiles ignorent davantage l'armure.,Niveau 3 : -18 %. Vos projectiles ignorent davantage l'armure.
dhsPerkMedicChemPierceR4,Perforation,Perforation
dhsPerkMedicChemPierceR4Long,Niveau 4 : -24 %. Vos projectiles ignorent davantage l'armure.,Niveau 4 : -24 %. Vos projectiles ignorent davantage l'armure.
dhsPerkMedicChemPierceR5,Perforation,Perforation
dhsPerkMedicChemPierceR5Long,Niveau 5 : -30 %. Vos projectiles ignorent davantage l'armure.,Niveau 5 : -30 %. Vos projectiles ignorent davantage l'armure.
dhsPerkMedicChemWStamName,Aisance,Aisance
dhsPerkMedicChemWStamDesc,Réduit l'endurance dépensée en lançant.,Réduit l'endurance dépensée en lançant.
dhsPerkMedicChemWStamR1,Aisance,Aisance
dhsPerkMedicChemWStamR1Long,Niveau 1 : -5 %. Réduit l'endurance dépensée en lançant.,Niveau 1 : -5 %. Réduit l'endurance dépensée en lançant.
dhsPerkMedicChemWStamR2,Aisance,Aisance
dhsPerkMedicChemWStamR2Long,Niveau 2 : -10 %. Réduit l'endurance dépensée en lançant.,Niveau 2 : -10 %. Réduit l'endurance dépensée en lançant.
dhsPerkMedicChemWStamR3,Aisance,Aisance
dhsPerkMedicChemWStamR3Long,Niveau 3 : -15 %. Réduit l'endurance dépensée en lançant.,Niveau 3 : -15 %. Réduit l'endurance dépensée en lançant.
dhsPerkMedicChemWStamR4,Aisance,Aisance
dhsPerkMedicChemWStamR4Long,Niveau 4 : -20 %. Réduit l'endurance dépensée en lançant.,Niveau 4 : -20 %. Réduit l'endurance dépensée en lançant.
dhsPerkMedicChemWStamR5,Aisance,Aisance
dhsPerkMedicChemWStamR5Long,Niveau 5 : -25 %. Réduit l'endurance dépensée en lançant.,Niveau 5 : -25 %. Réduit l'endurance dépensée en lançant.
dhsSkillClassMedicChemMetierName,Chimiste — Métier,Chimiste — Métier
dhsSkillClassMedicChemMetierDesc,Sous-branche Chimiste : Métier.,Sous-branche Chimiste : Métier.
dhsPerkMedicChemQualityName,Maîtrise d'artisanat,Maîtrise d'artisanat
dhsPerkMedicChemQualityDesc,Améliore la qualité de ce que vous fabriquez (chimie et explosifs).,Améliore la qualité de ce que vous fabriquez (chimie et explosifs).
dhsPerkMedicChemQualityR1,Maîtrise d'artisanat,Maîtrise d'artisanat
